Product Type,Product Name,Price,Material,Link,Informations
Pantalons,Pantalon de longueur cheville en lin,"29,99 €","[' Coton', ' Lin']",https://www2.hm.com/fr_fr/productpage.1066559001.html,['Pays de fabrication\nBangladesh']
Pantalons,Pantalon à taille élastique,"15,99 €","[' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.0971104005.html,"['Teinture\nChine', 'Fabrication\nBangladesh\nBirmanie']"
Pantalons,Pantalon cargo en twill,"25,99 €","[' Coton', ' Coton recyclé']",https://www2.hm.com/fr_fr/productpage.1203810004.html,"['Teinture\nBangladesh', 'Tissage\nBangladesh', 'Fabrication\nBangladesh']"
Pantalons,Legging de sport DryMove™ de longueur cheville,"25,99 €","[' Polyamide', ' Polyamide recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1217317005.html,['Pays de fabrication\nChine']
Pantalons,Pantalon cargo en toile,"19,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1083344001.html,"['Teinture\nBangladesh', 'Tissage\nBangladesh', 'Fabrication\nBangladesh\nInde\nBirmanie\nChine']"
Pantalons,Pantalon effilé en lin mélangé,"25,99 €","[' Lin', "" Polyester recyclé d'origine textile"", ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1145316005.html,['Pays de fabrication\nBirmanie']
Pantalons,Pantalon cigarette,"19,99 €","[' Coton', ' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.0751471118.html,"['Tissage\nChine', 'Fabrication\nBangladesh']"
Pantalons,Legging de sport DryMove™,"29,99 €","[' Polyamide recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1181466001.html,['Pays de fabrication\nCambodge']
Pantalons,Pantalon à bord frangé en lin mélangé,"25,99 €","[' Lin', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1224449004.html,['Pays de fabrication\nBangladesh']
Pantalons,Pantalon jazz froncé,"15,99 €","[' Viscose', ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1224961002.html,['Pays de fabrication\nChine']
Pantalons,Pantalon effilé en lin mélangé,"29,99 €","[' Lin', ' Polyester recyclé', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1141525005.html,"['Pays d’origine du matériau\nChine', 'Pays de fabrication\nChine']"
Pantalons,Pantalon en twill,"49,99 €","[' Polyester', ' Viscose', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1196089001.html,['Pays de fabrication\nChine']
Pantalons,Pantalon large,"29,99 €","[' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Viscose', ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1176512010.html,['Pays de fabrication\nBangladesh\nChine']
Pantalons,Pantalon à taille élastique,"15,99 €","[' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.0971104030.html,"['Teinture\nChine', 'Fabrication\nBangladesh']"
Pantalons,Legging de sport SoftMove™ avec poches,"35,99 €","[' Polyamide recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1213428002.html,[]
Pantalons,Pantalon à taille élastique en jersey,"14,99 €","[' Viscose', ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1159964005.html,['Pays de fabrication\nVietnam\nChine']
Pantalons,Legging Capri avec plis,"29,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1233623001.html,['Pays de fabrication\nChine']
Pantalons,Pantalon habillé avec taille haute,"19,99 €","[' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1091186001.html,['Pays de fabrication\nCambodge\nChine\nTurquie']
Pantalons,Pantalon de running DryMove™,"29,99 €","[' Polyamide', ' Polyamide recyclé', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1214464001.html,['Pays de fabrication\nChine']
Pantalons,Pantalon large en laine mélangée,"139,00 €","[' Laine', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1196855001.html,['Pays de fabrication\nRoumanie']
Pantalons,Pantalon en molleton de coton mélangé,"15,99 €","[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.0932722001.html,['Pays de fabrication\nBangladesh\nMexique']
Pantalons,Legging de sport SoftMove™ avec ceinture repliable,"35,99 €","[' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1219442003.html,"['Pays d’origine du matériau\nChine', 'Pays de fabrication\nCambodge']"
Pantalons,Pantalon cargo en twill,"29,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1159409001.html,"['Teinture\nBangladesh', 'Tissage\nBangladesh', 'Fabrication\nBangladesh']"
Pantalons,Pantalon de longueur cheville en lin,"29,99 €","[' Coton', ' Lin']",https://www2.hm.com/fr_fr/productpage.1066559002.html,['Pays de fabrication\nBangladesh']
Pantalons,NA,NA,"['N', 'A']",https://www2.hm.com/fr_fr/productpage.1207187001.html,[]
Pantalons,Pantalon large,"37,99 €","[' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.0877769041.html,['Pays de fabrication\nBangladesh']
Pantalons,Pantalon large avec taille élastique,"19,99 €","[' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1217677002.html,['Pays de fabrication\nBangladesh']
Pantalons,Pantalon jogger,"19,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1210186002.html,"['Teinture\nChine', 'Fabrication\nIndonésie']"
Pantalons,Pantalon en velours côtelé,"19,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1172816006.html,['Pays de fabrication\nBirmanie']
Pantalons,Pantalon cargo taille basse,"32,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1134305004.html,['Pays de fabrication\nBangladesh']
Pantalons,Pantalon parachute en nylon,"29,99 €","[' Coton', ' Polyamide', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1149170007.html,['Pays de fabrication\nChine']
Pantalons,MAMA Pantalon large,"49,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1203218001.html,['Pays de fabrication\nBangladesh']
