Product Type,Product Name,Price,Material,Link,Informations,Pays concernés,Fabrication,Tissage,Pays d’origine du matériau,Pays de fabrication,Impression,Teinture
Pantalons,Pantalon en lin mélangé avec taille élastique,19.99,"[' Coton', ' Lin', ' Polyester', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1216321003.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon en maille côtelée,35.99,"[' Laine', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1211221001.html,['Pays de fabrication\nBirmanie'],['Birmanie'],[],[],[],['Birmanie'],[],[]
Pantalons,Pantalon en lin mélangé avec taille élastique,19.99,"[' Lin', "" Polyester recyclé d'origine textile"", ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1138003009.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon large,37.99,"[' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1090271001.html,"['Teinture\nChine', 'Fabrication\nBangladesh']","['Chine', 'Bangladesh']",['Bangladesh'],[],[],[],[],['Chine']
Pantalons,Pantalon en lin mélangé avec taille élastique,15.99,"[' Lin', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1063563021.html,"['Teinture\nChine', 'Fabrication\nBirmanie\nChine']","['Chine', 'Birmanie', 'Chine']","['Birmanie', 'Chine']",[],[],[],[],['Chine']
Pantalons,Pantalon évasé en dentelle avec bords frangés,25.99,"[' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1229579001.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon large,37.99,"[' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1090271035.html,"['Teinture\nChine', 'Fabrication\nBangladesh']","['Chine', 'Bangladesh']",['Bangladesh'],[],[],[],[],['Chine']
Pantalons,Pantalon cigarette,19.99,"[' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Viscose', ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.0751471094.html,['Pays de fabrication\nBangladesh\nBirmanie'],"['Bangladesh', 'Birmanie']",[],[],[],"['Bangladesh', 'Birmanie']",[],[]
Pantalons,Legging enduit,25.99,"[' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1192695001.html,"['Pays d’origine du matériau\nTurquie', 'Pays de fabrication\nTurquie']","['Turquie', 'Turquie']",[],[],['Turquie'],['Turquie'],[],[]
Pantalons,Pantalon de survêtement avec passepoils,25.99,[' Polyamide'],https://www2.hm.com/fr_fr/productpage.1203817002.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon de survêtement avec passepoils,25.99,[' Polyamide'],https://www2.hm.com/fr_fr/productpage.1203817003.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon cargo,35.99,"[' Coton', ' Coton recyclé', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1161012001.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon cargo évasé,25.99,"[' Coton', ' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1181641004.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon jogger taille haute,19.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.0975845058.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon enduit,29.99,"[' Polyester', ' Polyuréthane']",https://www2.hm.com/fr_fr/productpage.1179279003.html,['Pays de fabrication\nBirmanie'],['Birmanie'],[],[],[],['Birmanie'],[],[]
Pantalons,Pantalon 7/8,25.99,"[' Polyester', "" Polyester recyclé d'origine textile"", ' Viscose', ' Viscose LENZING™ ECOVERO™']",https://www2.hm.com/fr_fr/productpage.1011909039.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Legging de sport DryMove™ avec mesh,25.99,"[' Polyamide recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1191946002.html,['Pays de fabrication\nIndonésie'],['Indonésie'],[],[],[],['Indonésie'],[],[]
Pantalons,Pantalon large style saharien,59.99,"[' Coton', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1231198001.html,['Pays de fabrication\nTurquie'],['Turquie'],[],[],[],['Turquie'],[],[]
Pantalons,Pantalon en satin de soie mélangée,129.0,"[' Lyocell', ' Soie', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1203277002.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon façon crochet à taille élastique,22.99,"[' Coton', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1145616003.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon parachute en nylon,19.99,"[' Coton', ' Polyamide', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1214167003.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
