Product Name,Price,Materials,Factory,Factory Link,Product Type,Country
The Supima® Micro-Rib Scoop-Neck Tee,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Premium Weight Muscle Tee,54.0,['Organic cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Supima® Micro-Rib Tank,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Drapey Square Shirt,94.0,['Tencel™ lyocell'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Washable Clean Silk Two-Pocket Relaxed Shirt,180.0,['Silk'],"Made in Nanchong, CN",/factories/silk,Tops,"['Sri Lanka', 'China']"
The Dream V-Neck Top,70.0,"['Organic cotton', 'Modal', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Organic Cotton Slim V-Neck Tee,36.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen High-Neck Tank,81.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Air Oversized Crew Tee,36.0,['Cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Linen Short-Sleeve Notch Shirt,94.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Tank,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Rib Muscle Tee,81.0,"['Tencel™ lyocell', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Organic Cotton Muscle Tee,43.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Short-Sleeve Crew Neck Bodysuit,48.0,"['Supima® cotton', 'Elastane']","Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Organic Cotton Slouchy V-Neck,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Rib Soft Knit Open Collar Polo,70.0,"['Tencel™ lyocell', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Organic Cotton Slim Crew Tee,36.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Rib-Knit Crew,94.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Elastane']",Made at Nobland International Korea.,Factory Link Not Found,Tops,"['Sri Lanka', 'China']"
The Washable Clean Silk Scoop-Neck Tank,132.0,['Silk'],"Made in Nanchong, CN",/factories/silk,Tops,['China']
The Linen Popover Shirt,105.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Crew,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Scoop-Neck Tank,81.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,"['Sri Lanka', 'China']"
The Relaxed Oxford Shirt,105.0,['Organic cotton'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Rib-Knit Organic Cotton Short-Sleeve Crew,81.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Washable Clean Silk Short-Sleeve Square Shirt,168.0,['Silk'],"Made in Nanchong, CN",/factories/silk,Tops,['China']
The Supima® Micro-Rib Tank,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Relaxed Shirt,105.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Racerback Tank,48.0,"['Supima cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The TENCEL™ Boxy Shirt,118.0,['Tencel™ lyocell'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Crew,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Crew,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Relaxed Shirt,105.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Long-Sleeve Crew,60.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Air Oversized Crew Tee,36.0,['Cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Long-Sleeve Supima® Square-Neck Bodysuit,54.0,['Elastane'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Rib Muscle Tee,81.0,"['Tencel™ lyocell', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
